#Date/Time of Update: 2019-10-18 5:45:30 GMT,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack
,91,ATL,Atlanta,Hawks,82,4554,55.5,2351,28.7,51.6,3076,37.5,1084,13.2,35.2,7630,93.0,3435,41.9,45.0,1956,23.9,1474,18.0,75.4,1047,12.8,2888,35.2,3936,48.0,2147,26.2,9428,115.0,1379,16.8,677,8.3,429,5.2,456,5.6,9923,121.0,2018,24.6,1956,23.9,1956,0.6,-495,-6.0,1846,22.5,1846,22.5,6,0.1,1,0.0,0,0.0,0,0.0,2,0.0,0,29,54,0.354,0.0
,82,BOS,Boston,Celtics,82,4593,56.0,2419,29.5,52.7,2829,34.5,1032,12.6,36.5,7422,90.5,3451,42.1,46.5,1598,19.5,1282,15.6,80.2,856,10.4,2880,35.1,3738,45.6,2155,26.3,9216,112.4,1020,12.4,704,8.6,435,5.3,316,3.9,8852,108.0,1714,20.9,1669,20.4,1669,0.5,364,4.4,1602,19.5,1602,19.5,3,0.0,1,0.0,0,0.0,1,0.0,0,0.0,1,49,33,0.598,0.0
,84,BRO,Brooklyn,Nets,82,4393,53.6,2254,27.5,51.3,2966,36.2,1047,12.8,35.3,7359,89.7,3301,40.3,44.9,2088,25.5,1555,19.0,74.5,977,11.9,2939,35.8,3918,47.8,1954,23.8,9204,112.2,1182,14.4,538,6.6,341,4.2,433,5.3,9210,112.3,1811,22.1,1763,21.5,1763,0.5,-6,-0.1,1808,22.0,1808,22.0,7,0.1,0,0.0,1,0.0,0,0.0,0,0.0,0,42,40,0.512,0.0
,93,CHA,Charlotte,Hornets,82,4582,55.9,2320,28.3,50.6,2783,33.9,977,11.9,35.1,7365,89.8,3297,40.2,44.8,1895,23.1,1510,18.4,79.7,888,10.8,2805,34.2,3693,45.0,1905,23.2,9081,110.7,954,11.6,588,7.2,408,5.0,493,6.0,9171,111.8,1591,19.4,1549,18.9,1549,0.4,-90,-1.1,1688,20.6,1688,20.6,3,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,39,43,0.476,0.0
,89,CHI,Chicago,Bulls,82,5082,62.0,2521,30.7,49.6,2125,25.9,745,9.1,35.1,7207,87.9,3266,39.8,45.3,1695,20.7,1328,16.2,78.3,787,9.6,2833,34.5,3623,44.2,1797,21.9,8605,104.9,1107,13.5,603,7.4,353,4.3,478,5.8,9295,113.4,1716,20.9,1663,20.3,1663,0.5,-690,-8.4,1535,18.7,1535,18.7,2,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,22,60,0.268,0.0
,86,CLE,Cleveland,Cavaliers,82,4796,58.5,2342,28.6,48.8,2388,29.1,847,10.3,35.5,7184,87.6,3189,38.9,44.4,1694,20.7,1342,16.4,79.2,930,11.3,2644,32.2,3574,43.6,1698,20.7,8567,104.5,1038,12.7,532,6.5,197,2.4,463,5.6,9355,114.1,1670,20.4,1642,20.0,1642,0.3,-788,-9.6,1592,19.4,1592,19.4,3,0.0,2,0.0,0,0.0,0,0.0,0,0.0,1,19,63,0.232,0.0
,108,DAL,Dallas,Mavericks,82,4119,50.2,2160,26.3,52.4,3005,36.6,1022,12.5,34.0,7124,86.9,3182,38.8,44.7,2076,25.3,1541,18.8,74.2,897,10.9,2905,35.4,3802,46.4,1918,23.4,8927,108.9,1116,13.6,533,6.5,354,4.3,369,4.5,9032,110.1,1703,20.8,1650,20.1,1650,0.6,-105,-1.3,1905,23.2,1905,23.2,10,0.1,2,0.0,0,0.0,0,0.0,0,0.0,1,33,49,0.402,0.0
,99,DEN,Denver,Nuggets,82,4812,58.7,2536,30.9,52.7,2571,31.4,903,11.0,35.1,7383,90.0,3439,41.9,46.6,1714,20.9,1294,15.8,75.5,1055,12.9,2852,34.8,3907,47.6,2245,27.4,9075,110.7,1053,12.8,633,7.7,365,4.5,407,5.0,8751,106.7,1695,20.7,1644,20.0,1644,0.5,324,4.0,1675,20.4,1675,20.4,11,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,54,28,0.659,0.0
,88,DET,Detroit,Pistons,82,4387,53.5,2192,26.7,50.0,2854,34.8,993,12.1,34.8,7241,88.3,3185,38.8,44.0,1893,23.1,1415,17.3,74.7,1021,12.5,2780,33.9,3801,46.4,1845,22.5,8778,107.0,1063,13.0,570,7.0,331,4.0,418,5.1,8798,107.3,1873,22.8,1811,22.1,1811,0.8,-20,-0.2,1748,21.3,1748,21.3,5,0.1,0,0.0,1,0.0,1,0.0,1,0.0,1,41,41,0.500,0.0
,101,GSW,Golden State,Warriors,82,4538,55.3,2525,30.8,55.6,2824,34.4,1087,13.3,38.5,7362,89.8,3612,44.0,49.1,1672,20.4,1339,16.3,80.1,845,10.3,3015,36.8,3860,47.1,2413,29.4,9650,117.7,1125,13.7,622,7.6,531,6.5,296,3.6,9120,111.2,1830,22.3,1757,21.4,1757,0.9,530,6.5,1600,19.5,1600,19.5,4,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,57,25,0.695,0.0
