#Date/Time of Update: 2019-10-18 08:41:20 GMT,#Game ID,#Game Date,#Game Time,#Schedule Status,#Played Status,#Current Period,#Current Period Seconds Remaining,#Current Intermission,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Away Score,#Home Score Total,#Quarter 1 Away Score,#Quarter 1 Home Score,#Quarter 2 Away Score,#Quarter 2 Home Score,#Quarter 3 Away Score,#Quarter 3 Home Score,#Quarter 4 Away Score,#Quarter 4 Home Score
,47570,10/16/18,00:00:00 GMT,NORMAL,COMPLETED,,,,85,PHI,Philadelphia,76ers,82,BOS,Boston,Celtics,27,TD Garden,87,105,21,21,21,26,24,30,21,28
,47571,10/16/18,02:30:00 GMT,NORMAL,COMPLETED,,,,96,OKL,Oklahoma City,Thunder,101,GSW,Golden State,Warriors,95,Oracle Arena,100,108,23,31,24,26,32,26,21,25
,47572,10/17/18,23:00:00 GMT,NORMAL,COMPLETED,,,,90,MIL,Milwaukee,Bucks,93,CHA,Charlotte,Hornets,87,Spectrum Center,113,112,36,23,31,31,26,29,20,29
,47573,10/17/18,23:00:00 GMT,NORMAL,COMPLETED,,,,84,BRO,Brooklyn,Nets,88,DET,Detroit,Pistons,145,Little Caesars Arena,100,103,29,24,22,27,25,32,24,20
,47574,10/17/18,23:00:00 GMT,NORMAL,COMPLETED,,,,107,MEM,Memphis,Grizzlies,87,IND,Indiana,Pacers,81,Bankers Life Fieldhouse,83,111,16,27,23,29,19,20,25,35
,47575,10/17/18,23:00:00 GMT,NORMAL,COMPLETED,,,,92,MIA,Miami,Heat,95,ORL,Orlando,Magic,89,Amway Center,101,104,31,25,20,29,27,25,23,25
,47576,10/17/18,23:30:00 GMT,NORMAL,COMPLETED,,,,91,ATL,Atlanta,Hawks,83,NYK,New York,Knicks,12,Madison Square Garden,107,126,24,23,25,49,35,34,23,20
,47577,10/17/18,23:30:00 GMT,NORMAL,COMPLETED,,,,86,CLE,Cleveland,Cavaliers,81,TOR,Toronto,Raptors,1,Scotiabank Arena,104,116,25,28,22,32,28,30,29,26
,47578,10/17/18,00:00:00 GMT,NORMAL,COMPLETED,,,,110,NOP,New Orleans,Pelicans,109,HOU,Houston,Rockets,102,Toyota Center,131,112,35,29,36,25,30,30,30,28
,47579,10/17/18,00:30:00 GMT,NORMAL,COMPLETED,,,,100,MIN,Minnesota,Timberwolves,106,SAS,San Antonio,Spurs,99,AT&T Center,108,112,23,31,29,25,31,25,25,31
,47580,10/17/18,02:00:00 GMT,NORMAL,COMPLETED,,,,98,UTA,Utah,Jazz,103,SAC,Sacramento,Kings,97,Sleep Train Arena,123,117,30,34,38,21,25,32,30,30
,47581,10/17/18,02:30:00 GMT,NORMAL,COMPLETED,,,,99,DEN,Denver,Nuggets,102,LAC,Los Angeles,Clippers,25,Staples Center,107,98,29,24,30,30,15,18,33,26
