#Date/Time of Update: 2019-10-18 15:42:32 GMT,#Game ID,#Game Date,#Game Time,#Schedule Status,#Played Status,#Current Period,#Current Period Seconds Remaining,#Current Intermission,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Venue ID,#Venue Name,#Away Score,#Home Score Total,#Quarter 1 Away Score,#Quarter 1 Home Score,#Quarter 2 Away Score,#Quarter 2 Home Score,#Quarter 3 Away Score,#Quarter 3 Home Score,#Quarter 4 Away Score,#Quarter 4 Home Score,#Quarter 5 Away Score,#Quarter 5 Home Score,#Quarter 6 Away Score,#Quarter 6 Home Score,#Quarter 7 Away Score,#Quarter 7 Home Score
,42091,2017-10-20,23:30:00 GMT,NORMAL,COMPLETED,,,,95,ORL,Orlando,Magic,84,BRO,Brooklyn,Nets,78,Barclays Center,121,126,27,29,28,29,36,31,30,37,,,,,,,,,,,,
,42092,2017-10-20,00:00:00 GMT,NORMAL,COMPLETED,,,,98,UTA,Utah,Jazz,100,MIN,Minnesota,Timberwolves,94,Target Center,97,100,16,19,26,27,23,24,32,30,,,,,,,,,,,,
,42093,2017-10-20,00:30:00 GMT,NORMAL,COMPLETED,,,,103,SAC,Sacramento,Kings,108,DAL,Dallas,Mavericks,2,American Airlines Center,93,88,19,23,27,23,25,14,22,28,,,,,,,,,,,,
,42094,2017-10-20,01:30:00 GMT,NORMAL,COMPLETED,,,,101,GSW,Golden State,Warriors,110,NOP,New Orleans,Pelicans,103,Smoothie King Center,128,120,26,39,35,25,37,26,30,30,,,,,,,,,,,,
,42095,2017-10-20,02:00:00 GMT,NORMAL,COMPLETED,,,,105,LAL,Los Angeles,Lakers,104,PHX,Phoenix,Suns,98,Talking Stick Resort Arena,132,130,40,36,30,37,36,26,26,31,,,,,,,,,,,,
,42096,2017-10-21,23:30:00 GMT,NORMAL,COMPLETED,,,,85,PHI,Philadelphia,76ers,81,TOR,Toronto,Raptors,1,Air Canada Center,94,128,19,36,30,26,22,40,23,26,,,,,,,,,,,,
,42097,2017-10-21,00:00:00 GMT,NORMAL,COMPLETED,,,,87,IND,Indiana,Pacers,92,MIA,Miami,Heat,86,American Airlines Arena,108,112,31,26,19,37,26,28,32,21,,,,,,,,,,,,
,42098,2017-10-21,00:00:00 GMT,NORMAL,COMPLETED,,,,101,GSW,Golden State,Warriors,107,MEM,Memphis,Grizzlies,100,FedEx Forum,101,111,26,31,25,25,20,32,30,23,,,,,,,,,,,,
,42099,2017-10-21,00:00:00 GMT,NORMAL,COMPLETED,,,,95,ORL,Orlando,Magic,86,CLE,Cleveland,Cavaliers,80,Quicken Loans Arena,114,93,36,18,20,27,32,20,26,28,,,,,,,,,,,,
,42100,2017-10-21,00:00:00 GMT,NORMAL,COMPLETED,,,,108,DAL,Dallas,Mavericks,109,HOU,Houston,Rockets,102,Toyota Center,91,107,20,33,19,29,19,30,33,15,,,,,,,,,,,,
,42101,2017-10-21,00:00:00 GMT,NORMAL,COMPLETED,,,,88,DET,Detroit,Pistons,83,NYK,New York,Knicks,12,Madison Square Garden,111,107,19,28,32,36,28,16,32,27,,,,,,,,,,,,
,42102,2017-10-21,00:00:00 GMT,NORMAL,COMPLETED,,,,106,SAS,San Antonio,Spurs,89,CHI,Chicago,Bulls,10,KeyBank Center,87,77,19,21,22,17,24,17,22,22,,,,,,,,,,,,
,42103,2017-10-21,00:30:00 GMT,NORMAL,COMPLETED,,,,97,POR,Portland,Trail Blazers,90,MIL,Milwaukee,Bucks,84,BMO Bradley Harris Center,110,113,26,24,29,36,25,24,30,29,,,,,,,,,,,,
,42104,2017-10-21,01:00:00 GMT,NORMAL,COMPLETED,,,,103,SAC,Sacramento,Kings,99,DEN,Denver,Nuggets,19,Pepsi Center,79,96,18,17,16,25,18,24,27,30,,,,,,,,,,,,
,42105,2017-10-21,01:00:00 GMT,NORMAL,COMPLETED,,,,96,OKL,Oklahoma City,Thunder,98,UTA,Utah,Jazz,92,Vivint Smart Home Arena,87,96,14,21,20,23,23,29,30,23,,,,,,,,,,,,
,42106,2017-10-21,02:30:00 GMT,NORMAL,COMPLETED,,,,104,PHX,Phoenix,Suns,102,LAC,Los Angeles,Clippers,25,Staples Center,88,130,18,23,26,35,20,32,24,40,,,,,,,,,,,,
,42107,2017-10-22,19:30:00 GMT,NORMAL,COMPLETED,,,,91,ATL,Atlanta,Hawks,84,BRO,Brooklyn,Nets,78,Barclays Center,104,116,25,19,28,37,24,35,27,25,,,,,,,,,,,,
,42108,2017-10-22,23:00:00 GMT,NORMAL,COMPLETED,,,,100,MIN,Minnesota,Timberwolves,96,OKL,Oklahoma City,Thunder,90,Chesapeake Energy Arena,115,113,28,23,33,31,27,21,27,38,,,,,,,,,,,,
,42109,2017-10-22,01:30:00 GMT,NORMAL,COMPLETED,,,,110,NOP,New Orleans,Pelicans,105,LAL,Los Angeles,Lakers,25,Staples Center,119,112,34,22,34,33,26,28,25,29,,,,,,,,,,,,
,42110,2017-10-23,23:00:00 GMT,NORMAL,COMPLETED,,,,85,PHI,Philadelphia,76ers,88,DET,Detroit,Pistons,145,Little Caesars Arena,97,86,31,22,25,21,19,24,22,19,,,,,,,,,,,,
,42111,2017-10-23,23:30:00 GMT,NORMAL,COMPLETED,,,,91,ATL,Atlanta,Hawks,92,MIA,Miami,Heat,86,American Airlines Arena,93,104,23,26,21,36,29,15,20,27,,,,,,,,,,,,
,42112,2017-10-23,00:00:00 GMT,NORMAL,COMPLETED,,,,93,CHA,Charlotte,Hornets,90,MIL,Milwaukee,Bucks,84,BMO Bradley Harris Center,94,103,25,18,29,35,23,30,17,20,,,,,,,,,,,,
,42113,2017-10-23,00:00:00 GMT,NORMAL,COMPLETED,,,,107,MEM,Memphis,Grizzlies,109,HOU,Houston,Rockets,102,Toyota Center,98,90,24,26,26,31,20,19,28,14,,,,,,,,,,,,
,42114,2017-10-23,00:30:00 GMT,NORMAL,COMPLETED,,,,101,GSW,Golden State,Warriors,108,DAL,Dallas,Mavericks,2,American Airlines Center,133,103,40,24,25,38,34,22,34,19,,,,,,,,,,,,
,42115,2017-10-23,00:30:00 GMT,NORMAL,COMPLETED,,,,81,TOR,Toronto,Raptors,106,SAS,San Antonio,Spurs,99,AT&T Center,97,101,23,21,27,29,24,25,23,26,,,,,,,,,,,,
,42116,2017-10-23,01:00:00 GMT,NORMAL,COMPLETED,,,,94,WAS,Washington,Wizards,99,DEN,Denver,Nuggets,19,Pepsi Center,109,104,29,29,27,26,22,22,31,27,,,,,,,,,,,,
,42117,2017-10-23,02:00:00 GMT,NORMAL,COMPLETED,,,,103,SAC,Sacramento,Kings,104,PHX,Phoenix,Suns,98,Talking Stick Resort Arena,115,117,17,36,34,23,25,28,39,30,,,,,,,,,,,,
,42118,2017-10-24,23:00:00 GMT,NORMAL,COMPLETED,,,,84,BRO,Brooklyn,Nets,95,ORL,Orlando,Magic,89,Amway Center,121,125,30,30,31,31,35,26,25,38,,,,,,,,,,,,
,42119,2017-10-24,23:00:00 GMT,NORMAL,COMPLETED,,,,89,CHI,Chicago,Bulls,86,CLE,Cleveland,Cavaliers,80,Quicken Loans Arena,112,119,38,28,30,37,24,26,20,28,,,,,,,,,,,,
,42120,2017-10-24,23:30:00 GMT,NORMAL,COMPLETED,,,,83,NYK,New York,Knicks,82,BOS,Boston,Celtics,27,TD Garden,89,110,17,30,16,24,27,23,29,33,,,,,,,,,,,,
,42121,2017-10-24,00:00:00 GMT,NORMAL,COMPLETED,,,,87,IND,Indiana,Pacers,100,MIN,Minnesota,Timberwolves,94,Target Center,130,107,33,20,28,41,37,23,32,23,,,,,,,,,,,,
,42122,2017-10-24,02:00:00 GMT,NORMAL,COMPLETED,,,,110,NOP,New Orleans,Pelicans,97,POR,Portland,Trail Blazers,91,Moda Center,93,103,19,29,29,18,25,24,20,32,,,,,,,,,,,,
,42123,2017-10-24,02:30:00 GMT,NORMAL,COMPLETED,,,,98,UTA,Utah,Jazz,102,LAC,Los Angeles,Clippers,25,Staples Center,84,102,20,27,21,15,15,33,28,27,,,,,,,,,,,,
